"Company
Location",Income group,Region,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
France,High income,Europe & Central Asia,1.737523987,1.792993386,-0.303770528,-3.371737188,1.447012859,1.699630119,-0.171212884,0.059905732,0.472969992,0.691921868,0.692650644,2.251980937,1.539463119
France,High income,Europe & Central Asia,1.737523987,1.792993386,-0.303770528,-3.371737188,1.447012859,1.699630119,-0.171212884,0.059905732,0.472969992,0.691921868,0.692650644,2.251980937,1.539463119
France,High income,Europe & Central Asia,1.737523987,1.792993386,-0.303770528,-3.371737188,1.447012859,1.699630119,-0.171212884,0.059905732,0.472969992,0.691921868,0.692650644,2.251980937,1.539463119
France,High income,Europe & Central Asia,1.737523987,1.792993386,-0.303770528,-3.371737188,1.447012859,1.699630119,-0.171212884,0.059905732,0.472969992,0.691921868,0.692650644,2.251980937,1.539463119
France,High income,Europe & Central Asia,1.737523987,1.792993386,-0.303770528,-3.371737188,1.447012859,1.699630119,-0.171212884,0.059905732,0.472969992,0.691921868,0.692650644,2.251980937,1.539463119
France,High income,Europe & Central Asia,1.737523987,1.792993386,-0.303770528,-3.371737188,1.447012859,1.699630119,-0.171212884,0.059905732,0.472969992,0.691921868,0.692650644,2.251980937,1.539463119
France,High income,Europe & Central Asia,1.737523987,1.792993386,-0.303770528,-3.371737188,1.447012859,1.699630119,-0.171212884,0.059905732,0.472969992,0.691921868,0.692650644,2.251980937,1.539463119
France,High income,Europe & Central Asia,1.737523987,1.792993386,-0.303770528,-3.371737188,1.447012859,1.699630119,-0.171212884,0.059905732,0.472969992,0.691921868,0.692650644,2.251980937,1.539463119
France,High income,Europe & Central Asia,1.737523987,1.792993386,-0.303770528,-3.371737188,1.447012859,1.699630119,-0.171212884,0.059905732,0.472969992,0.691921868,0.692650644,2.251980937,1.539463119
France,High income,Europe & Central Asia,1.737523987,1.792993386,-0.303770528,-3.371737188,1.447012859,1.699630119,-0.171212884,0.059905732,0.472969992,0.691921868,0.692650644,2.251980937,1.539463119
France,High income,Europe & Central Asia,1.737523987,1.792993386,-0.303770528,-3.371737188,1.447012859,1.699630119,-0.171212884,0.059905732,0.472969992,0.691921868,0.692650644,2.251980937,1.539463119
France,High income,Europe & Central Asia,1.737523987,1.792993386,-0.303770528,-3.371737188,1.447012859,1.699630119,-0.171212884,0.059905732,0.472969992,0.691921868,0.692650644,2.251980937,1.539463119
France,High income,Europe & Central Asia,1.737523987,1.792993386,-0.303770528,-3.371737188,1.447012859,1.699630119,-0.171212884,0.059905732,0.472969992,0.691921868,0.692650644,2.251980937,1.539463119
France,High income,Europe & Central Asia,1.737523987,1.792993386,-0.303770528,-3.371737188,1.447012859,1.699630119,-0.171212884,0.059905732,0.472969992,0.691921868,0.692650644,2.251980937,1.539463119
France,High income,Europe & Central Asia,1.737523987,1.792993386,-0.303770528,-3.371737188,1.447012859,1.699630119,-0.171212884,0.059905732,0.472969992,0.691921868,0.692650644,2.251980937,1.539463119
France,High income,Europe & Central Asia,1.737523987,1.792993386,-0.303770528,-3.371737188,1.447012859,1.699630119,-0.171212884,0.059905732,0.472969992,0.691921868,0.692650644,2.251980937,1.539463119
France,High income,Europe & Central Asia,1.737523987,1.792993386,-0.303770528,-3.371737188,1.447012859,1.699630119,-0.171212884,0.059905732,0.472969992,0.691921868,0.692650644,2.251980937,1.539463119
