"Company
Location","Company
Location",Income group,Region,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
France,France,High income,Europe & Central Asia,2.31859E+12,2.65721E+12,2.91838E+12,2.69022E+12,2.64261E+12,2.86141E+12,2.68383E+12,2.81108E+12,2.85217E+12,2.43821E+12,2.47129E+12,2.58629E+12,2.77754E+12
France,France,High income,Europe & Central Asia,2.31859E+12,2.65721E+12,2.91838E+12,2.69022E+12,2.64261E+12,2.86141E+12,2.68383E+12,2.81108E+12,2.85217E+12,2.43821E+12,2.47129E+12,2.58629E+12,2.77754E+12
France,France,High income,Europe & Central Asia,2.31859E+12,2.65721E+12,2.91838E+12,2.69022E+12,2.64261E+12,2.86141E+12,2.68383E+12,2.81108E+12,2.85217E+12,2.43821E+12,2.47129E+12,2.58629E+12,2.77754E+12
France,France,High income,Europe & Central Asia,2.31859E+12,2.65721E+12,2.91838E+12,2.69022E+12,2.64261E+12,2.86141E+12,2.68383E+12,2.81108E+12,2.85217E+12,2.43821E+12,2.47129E+12,2.58629E+12,2.77754E+12
France,France,High income,Europe & Central Asia,2.31859E+12,2.65721E+12,2.91838E+12,2.69022E+12,2.64261E+12,2.86141E+12,2.68383E+12,2.81108E+12,2.85217E+12,2.43821E+12,2.47129E+12,2.58629E+12,2.77754E+12
France,France,High income,Europe & Central Asia,2.31859E+12,2.65721E+12,2.91838E+12,2.69022E+12,2.64261E+12,2.86141E+12,2.68383E+12,2.81108E+12,2.85217E+12,2.43821E+12,2.47129E+12,2.58629E+12,2.77754E+12
France,France,High income,Europe & Central Asia,2.31859E+12,2.65721E+12,2.91838E+12,2.69022E+12,2.64261E+12,2.86141E+12,2.68383E+12,2.81108E+12,2.85217E+12,2.43821E+12,2.47129E+12,2.58629E+12,2.77754E+12
France,France,High income,Europe & Central Asia,2.31859E+12,2.65721E+12,2.91838E+12,2.69022E+12,2.64261E+12,2.86141E+12,2.68383E+12,2.81108E+12,2.85217E+12,2.43821E+12,2.47129E+12,2.58629E+12,2.77754E+12
France,France,High income,Europe & Central Asia,2.31859E+12,2.65721E+12,2.91838E+12,2.69022E+12,2.64261E+12,2.86141E+12,2.68383E+12,2.81108E+12,2.85217E+12,2.43821E+12,2.47129E+12,2.58629E+12,2.77754E+12
France,France,High income,Europe & Central Asia,2.31859E+12,2.65721E+12,2.91838E+12,2.69022E+12,2.64261E+12,2.86141E+12,2.68383E+12,2.81108E+12,2.85217E+12,2.43821E+12,2.47129E+12,2.58629E+12,2.77754E+12
France,France,High income,Europe & Central Asia,2.31859E+12,2.65721E+12,2.91838E+12,2.69022E+12,2.64261E+12,2.86141E+12,2.68383E+12,2.81108E+12,2.85217E+12,2.43821E+12,2.47129E+12,2.58629E+12,2.77754E+12
France,France,High income,Europe & Central Asia,2.31859E+12,2.65721E+12,2.91838E+12,2.69022E+12,2.64261E+12,2.86141E+12,2.68383E+12,2.81108E+12,2.85217E+12,2.43821E+12,2.47129E+12,2.58629E+12,2.77754E+12
France,France,High income,Europe & Central Asia,2.31859E+12,2.65721E+12,2.91838E+12,2.69022E+12,2.64261E+12,2.86141E+12,2.68383E+12,2.81108E+12,2.85217E+12,2.43821E+12,2.47129E+12,2.58629E+12,2.77754E+12
France,France,High income,Europe & Central Asia,2.31859E+12,2.65721E+12,2.91838E+12,2.69022E+12,2.64261E+12,2.86141E+12,2.68383E+12,2.81108E+12,2.85217E+12,2.43821E+12,2.47129E+12,2.58629E+12,2.77754E+12
France,France,High income,Europe & Central Asia,2.31859E+12,2.65721E+12,2.91838E+12,2.69022E+12,2.64261E+12,2.86141E+12,2.68383E+12,2.81108E+12,2.85217E+12,2.43821E+12,2.47129E+12,2.58629E+12,2.77754E+12
France,France,High income,Europe & Central Asia,2.31859E+12,2.65721E+12,2.91838E+12,2.69022E+12,2.64261E+12,2.86141E+12,2.68383E+12,2.81108E+12,2.85217E+12,2.43821E+12,2.47129E+12,2.58629E+12,2.77754E+12
France,France,High income,Europe & Central Asia,2.31859E+12,2.65721E+12,2.91838E+12,2.69022E+12,2.64261E+12,2.86141E+12,2.68383E+12,2.81108E+12,2.85217E+12,2.43821E+12,2.47129E+12,2.58629E+12,2.77754E+12
France,France,High income,Europe & Central Asia,2.31859E+12,2.65721E+12,2.91838E+12,2.69022E+12,2.64261E+12,2.86141E+12,2.68383E+12,2.81108E+12,2.85217E+12,2.43821E+12,2.47129E+12,2.58629E+12,2.77754E+12
France,France,High income,Europe & Central Asia,2.31859E+12,2.65721E+12,2.91838E+12,2.69022E+12,2.64261E+12,2.86141E+12,2.68383E+12,2.81108E+12,2.85217E+12,2.43821E+12,2.47129E+12,2.58629E+12,2.77754E+12
France,France,High income,Europe & Central Asia,2.31859E+12,2.65721E+12,2.91838E+12,2.69022E+12,2.64261E+12,2.86141E+12,2.68383E+12,2.81108E+12,2.85217E+12,2.43821E+12,2.47129E+12,2.58629E+12,2.77754E+12
France,France,High income,Europe & Central Asia,2.31859E+12,2.65721E+12,2.91838E+12,2.69022E+12,2.64261E+12,2.86141E+12,2.68383E+12,2.81108E+12,2.85217E+12,2.43821E+12,2.47129E+12,2.58629E+12,2.77754E+12
France,France,High income,Europe & Central Asia,2.31859E+12,2.65721E+12,2.91838E+12,2.69022E+12,2.64261E+12,2.86141E+12,2.68383E+12,2.81108E+12,2.85217E+12,2.43821E+12,2.47129E+12,2.58629E+12,2.77754E+12
France,France,High income,Europe & Central Asia,2.31859E+12,2.65721E+12,2.91838E+12,2.69022E+12,2.64261E+12,2.86141E+12,2.68383E+12,2.81108E+12,2.85217E+12,2.43821E+12,2.47129E+12,2.58629E+12,2.77754E+12
United States,U.S.A.,High income,North America,1.38146E+13,1.44519E+13,1.47128E+13,1.44489E+13,1.49921E+13,1.55426E+13,1.6197E+13,1.67848E+13,1.75217E+13,1.82193E+13,1.87072E+13,1.94854E+13,2.04941E+13
United States,U.S.A.,High income,North America,1.38146E+13,1.44519E+13,1.47128E+13,1.44489E+13,1.49921E+13,1.55426E+13,1.6197E+13,1.67848E+13,1.75217E+13,1.82193E+13,1.87072E+13,1.94854E+13,2.04941E+13
Fiji,Fiji,Upper middle income,East Asia & Pacific,3102741451,3405050612,3523185920,2870624636,3140508836,3774530616,3972012571,4190143206,4856963252,4682546881,4926740194,5270335185,5479504926
Fiji,Fiji,Upper middle income,East Asia & Pacific,3102741451,3405050612,3523185920,2870624636,3140508836,3774530616,3972012571,4190143206,4856963252,4682546881,4926740194,5270335185,5479504926
Fiji,Fiji,Upper middle income,East Asia & Pacific,3102741451,3405050612,3523185920,2870624636,3140508836,3774530616,3972012571,4190143206,4856963252,4682546881,4926740194,5270335185,5479504926
Fiji,Fiji,Upper middle income,East Asia & Pacific,3102741451,3405050612,3523185920,2870624636,3140508836,3774530616,3972012571,4190143206,4856963252,4682546881,4926740194,5270335185,5479504926
Ecuador,Ecuador,Upper middle income,Latin America & Caribbean,46802044000,51007777000,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,1.01726E+11,99290381000,99937696000,1.04296E+11,1.08398E+11
Ecuador,Ecuador,Upper middle income,Latin America & Caribbean,46802044000,51007777000,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,1.01726E+11,99290381000,99937696000,1.04296E+11,1.08398E+11
Mexico,Mexico,Upper middle income,Latin America & Caribbean,9.75387E+11,1.0527E+12,1.10999E+12,9.00045E+11,1.0578E+12,1.18049E+12,1.20109E+12,1.27444E+12,1.31456E+12,1.17056E+12,1.07783E+12,1.15807E+12,1.22381E+12
Switzerland,Switzerland,High income,Europe & Central Asia,4.30921E+11,4.79913E+11,5.54363E+11,5.41507E+11,5.83783E+11,6.9958E+11,6.68044E+11,6.88504E+11,7.09183E+11,6.79832E+11,6.70181E+11,6.78965E+11,7.05501E+11
Switzerland,Switzerland,High income,Europe & Central Asia,4.30921E+11,4.79913E+11,5.54363E+11,5.41507E+11,5.83783E+11,6.9958E+11,6.68044E+11,6.88504E+11,7.09183E+11,6.79832E+11,6.70181E+11,6.78965E+11,7.05501E+11
